cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.7001318402426366,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,-712.0710595789994,1471.5495265654063,32.87203865010315,3.64099868213798e-08
1.8477337146559936,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,41,-688.79229002608,1471.973069260793,33.295581345489836,2.94611295625061e-08
1.9342020775480855,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,38,-693.1499286757147,1472.8479000560558,34.17041214075266,1.90231442239149e-08
2.2057987804147685,+,+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,35,-697.0549608190673,1472.9831610747544,34.30567315945132,1.77791397439904e-08
1.7228892769649753,+,+,+,+,+,+,NA,+,NA,+,+,NA,+,NA,NA,NA,41,-689.5101547731031,1473.4087987548392,34.731310839536036,1.43709240987315e-08
2.51517743965096,+,+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,23,-711.9898692312865,1473.709468192303,35.031980276999775,1.23650295006379e-08
2.3118505892427117,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,-701.2480992309912,1473.8550834794041,35.17759556410101,1.1496752948981e-08
2.2634562705781813,+,+,+,+,+,NA,+,+,+,NA,+,NA,NA,NA,NA,NA,38,-693.8031153032048,1474.154273311036,35.476785395732804,9.89935622671766e-09
1.8933480047066003,+,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,38,-693.8202453998325,1474.1885335042914,35.51104558898828,9.73122347453624e-09
1.8651003348783881,+,+,+,+,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,38,-693.9900362743958,1474.528115253418,35.85062733811492,8.21160794445183e-09
2.001668221196075,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,35,-697.9301942395881,1474.733627915796,36.05614000049286,7.40971831964186e-09
2.6283198279738182,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,-716.2235493327762,1475.2564632140475,36.57897529874435,5.70518137967805e-09
1.8999700471553338,+,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,38,-694.3861555906556,1475.3203538859375,36.642865970634375,5.52580777297798e-09
2.320684478480495,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,35,-698.4465227960721,1475.766285028764,37.08879711346094,4.42143307457858e-09
1.901601900161402,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,+,NA,50,-678.472891806258,1475.9048914192074,37.22740350390427,4.12539046437083e-09
2.0303555444382173,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,35,-698.729298801948,1476.3318370405157,37.65434912521255,3.33238366316029e-09
2.228878286064324,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,38,-695.4331777285088,1477.414398161644,38.73691024634081,1.93945557474847e-09
1.9678354278620755,+,+,+,+,+,NA,+,+,+,+,+,NA,NA,NA,NA,NA,41,-691.5836325801077,1477.5557543688485,38.87826645354539,1.80711056812086e-09
2.5684953234483094,+,+,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,26,-710.4040801767094,1477.599969227139,38.92248131183578,1.76759836514035e-09
2.33236555964716,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,35,-699.696458086993,1478.2661556106057,39.58866769530255,1.26684375850391e-09
2.1371530651726354,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,38,-696.1863423944743,1478.920727493575,40.24323957827187,9.13239268881566e-10
